name,internal_var,namelist,group,dtype,default,source_use_count,source_use_files,source_usage_summary,source_use_examples
denoff,denoff,&inputnl,Grad-Shafranov Solver,real,1.,5,unstructured/init_common.f90(3); unstructured/m3dc1_nint.f90(2),"源码引用 5 处；主要在 `init_common.f90` 3处, `m3dc1_nint.f90` 2处。","unstructured/init_common.f90:309: tanh((real(ps079(:,OP_1))-(psibound+denoff*(psibound-psimin)))&
unstructured/init_common.f90:315: temp79a = ((real(ps079(:,OP_1))-psimin)/(psibound-psimin) - denoff)&
unstructured/init_common.f90:338: (1. + tanh((temp79b-(1.+denoff))/dendelt))
unstructured/m3dc1_nint.f90:989: where(real(temp79a).lt.denoff .and. real(temp79b).gt.0.)
unstructured/m3dc1_nint.f90:1826: where(real(temp79a).ge.denoff .and. real(temp79b).le.0.)"
divertors,divertors,&inputnl,Grad-Shafranov Solver,integer,0,4,unstructured/gradshafranov.f90(4),源码引用 4 处；主要在 `gradshafranov.f90` 4处。,"unstructured/gradshafranov.f90:301: print *, ""Calculating fields due to divertors""
unstructured/gradshafranov.f90:302: if(divertors.ge.1) then
unstructured/gradshafranov.f90:305: if(divertors.eq.2) zc(2) = -zdiv
unstructured/gradshafranov.f90:307: call field_from_coils(xc,zc,ic,divertors,psi_coil_field,0,ierr)"
xdiv,xdiv,&inputnl,Grad-Shafranov Solver,real,0.,1,unstructured/gradshafranov.f90(1),源码引用 1 处；主要在 `gradshafranov.f90` 1处。,unstructured/gradshafranov.f90:303: xc(1:2) = xdiv
zdiv,zdiv,&inputnl,Grad-Shafranov Solver,real,0.,2,unstructured/gradshafranov.f90(2),源码引用 2 处；主要在 `gradshafranov.f90` 2处。,"unstructured/gradshafranov.f90:304: zc(1) = zdiv
unstructured/gradshafranov.f90:305: if(divertors.eq.2) zc(2) = -zdiv"
divcur,divcur,&inputnl,Grad-Shafranov Solver,real,0.1,2,unstructured/gradshafranov.f90(1); unstructured/init_basicq.f90(1),"源码引用 2 处；主要在 `gradshafranov.f90` 1处, `init_basicq.f90` 1处。","unstructured/gradshafranov.f90:306: ic(1:2) = fac*divcur
unstructured/init_basicq.f90:41: q14_qp = divcur"
xnull,xnull,&inputnl,Grad-Shafranov Solver,real,0.,20,unstructured/diagnostics.f90(11); unstructured/gradshafranov.f90(4); unstructured/restart_hdf5.f90(2); unstructured/gread_restart_c11.fh(1); unstructured/input.f90(1); unstructured/output.f90(1),"源码引用 20 处；主要在 `diagnostics.f90` 11处, `gradshafranov.f90` 4处, `restart_hdf5.f90` 2处, `gread_restart_c11.fh` 1处。","unstructured/diagnostics.f90:1283: if(xnull.ne.0) psii_null = (psinull - psimin)/dpsii
unstructured/diagnostics.f90:1287: (xnull.eq.0. .or. psii.gt.psii_null) .and. &
unstructured/diagnostics.f90:1301: if(xnull.gt.0) then
unstructured/diagnostics.f90:1304: if((x-xmag)*(xnull-xmag) + (z-zmag)*(znull-zmag) .gt. 0.) then
unstructured/diagnostics.f90:1308: rl.gt.sqrt((xmag-xnull)**2 + (zmag-znull)**2)) then
unstructured/diagnostics.f90:2152: if(xnull .gt. 0.) call magaxis(xnull,znull,temp_field,psinull,1,ier)
unstructured/diagnostics.f90:2156: if(xnull.gt.0.) then
unstructured/diagnostics.f90:2157: call evaluate(xnull,0.,znull,dum1,temp_field,itri,ier)
unstructured/diagnostics.f90:2166: if(xnull.gt.0) then
unstructured/diagnostics.f90:2169: write(*,'(A,2E12.4)') ' X-point 1 found at ', xnull, znull"
znull,znull,&inputnl,Grad-Shafranov Solver,real,0.,15,unstructured/diagnostics.f90(6); unstructured/gradshafranov.f90(4); unstructured/restart_hdf5.f90(2); unstructured/gread_restart_c11.fh(1); unstructured/input.f90(1); unstructured/output.f90(1),"源码引用 15 处；主要在 `diagnostics.f90` 6处, `gradshafranov.f90` 4处, `restart_hdf5.f90` 2处, `gread_restart_c11.fh` 1处。","unstructured/diagnostics.f90:1304: if((x-xmag)*(xnull-xmag) + (z-zmag)*(znull-zmag) .gt. 0.) then
unstructured/diagnostics.f90:1308: rl.gt.sqrt((xmag-xnull)**2 + (zmag-znull)**2)) then
unstructured/diagnostics.f90:2152: if(xnull .gt. 0.) call magaxis(xnull,znull,temp_field,psinull,1,ier)
unstructured/diagnostics.f90:2157: call evaluate(xnull,0.,znull,dum1,temp_field,itri,ier)
unstructured/diagnostics.f90:2169: write(*,'(A,2E12.4)') ' X-point 1 found at ', xnull, znull
unstructured/diagnostics.f90:2178: write(*,'(A,2E12.4)') ' X-point 1 NOT found near ', xnull, znull
unstructured/gradshafranov.f90:143: print *, 'Doing feedback', xmag-xmag0, zmag-zmag0,xnull-xnull0,znull-znull0
unstructured/gradshafranov.f90:156: znulli = znulli + (znull-znull0)
unstructured/gradshafranov.f90:180: (gs_vertical_feedback_x(coil_mask(i))*(znull-znull0) &
unstructured/gradshafranov.f90:1255: znull0 = znull"
mod_null_rs,mod_null_rs,&inputnl,Grad-Shafranov Solver,integer,0,1,unstructured/restart_hdf5.f90(1),源码引用 1 处；主要在 `restart_hdf5.f90` 1处。,unstructured/restart_hdf5.f90:159: if(mod_null_rs .eq.0) then
xnull2,xnull2,&inputnl,Grad-Shafranov Solver,real,0.,15,unstructured/diagnostics.f90(11); unstructured/restart_hdf5.f90(2); unstructured/input.f90(1); unstructured/output.f90(1),"源码引用 15 处；主要在 `diagnostics.f90` 11处, `restart_hdf5.f90` 2处, `input.f90` 1处, `output.f90` 1处。","unstructured/diagnostics.f90:1284: if(xnull2.ne.0) psii_null2 = (psinull2 - psimin)/dpsii
unstructured/diagnostics.f90:1288: (xnull2.eq.0. .or. psii.gt.psii_null2)) then
unstructured/diagnostics.f90:1316: if(xnull2.gt.0) then
unstructured/diagnostics.f90:1319: if((x-xmag)*(xnull2-xmag) + (z-zmag)*(znull2-zmag) .gt. 0.) then
unstructured/diagnostics.f90:1323: rl.gt.sqrt((xmag-xnull2)**2 + (zmag-znull2)**2)) then
unstructured/diagnostics.f90:2153: if(xnull2 .gt. 0.) call magaxis(xnull2,znull2,temp_field,psinull2,1,ier2)
unstructured/diagnostics.f90:2160: if(xnull2.gt.0.) then
unstructured/diagnostics.f90:2161: call evaluate(xnull2,0.,znull2,dum1,temp_field,itri,ier2)
unstructured/diagnostics.f90:2182: if(xnull2 .gt. 0) then
unstructured/diagnostics.f90:2185: write(*,'(A,2E12.4)') ' X-point 2 found at ', xnull2, znull2"
znull2,znull2,&inputnl,Grad-Shafranov Solver,real,0.,9,unstructured/diagnostics.f90(6); unstructured/restart_hdf5.f90(2); unstructured/output.f90(1),"源码引用 9 处；主要在 `diagnostics.f90` 6处, `restart_hdf5.f90` 2处, `output.f90` 1处。","unstructured/diagnostics.f90:1319: if((x-xmag)*(xnull2-xmag) + (z-zmag)*(znull2-zmag) .gt. 0.) then
unstructured/diagnostics.f90:1323: rl.gt.sqrt((xmag-xnull2)**2 + (zmag-znull2)**2)) then
unstructured/diagnostics.f90:2153: if(xnull2 .gt. 0.) call magaxis(xnull2,znull2,temp_field,psinull2,1,ier2)
unstructured/diagnostics.f90:2161: call evaluate(xnull2,0.,znull2,dum1,temp_field,itri,ier2)
unstructured/diagnostics.f90:2185: write(*,'(A,2E12.4)') ' X-point 2 found at ', xnull2, znull2
unstructured/diagnostics.f90:2194: write(*,'(A,2E12.4)') ' X-point 2 NOT found near ', xnull2, znull2
unstructured/output.f90:423: call output_scalar(scalar_group_id, ""znull2"" ,znull2 ,ntime,error)
unstructured/restart_hdf5.f90:153: call read_scalar(scalar_group_id, ""znull2"" , znull2t , ntime, error)
unstructured/restart_hdf5.f90:165: znull2 = znull2t"
mod_null_rs2,mod_null_rs2,&inputnl,Grad-Shafranov Solver,integer,0,1,unstructured/restart_hdf5.f90(1),源码引用 1 处；主要在 `restart_hdf5.f90` 1处。,unstructured/restart_hdf5.f90:163: if(mod_null_rs2 .eq.0) then
gs_pf_psi_width,gs_pf_psi_width,&inputnl,Grad-Shafranov Solver,real,0.,3,unstructured/gradshafranov.f90(3),源码引用 3 处；主要在 `gradshafranov.f90` 3处。,"unstructured/gradshafranov.f90:3500: if(gs_pf_psi_width.eq.0.) then
unstructured/gradshafranov.f90:3504: t = tanh((psin - psin0)/gs_pf_psi_width)
unstructured/gradshafranov.f90:3508: psin_in_pf_region = 2.*psin0 - psin + 2.*gs_pf_psi_width*t"
xnull0,xnull0,&inputnl,Grad-Shafranov Solver,real,0.,6,unstructured/gradshafranov.f90(6),源码引用 6 处；主要在 `gradshafranov.f90` 6处。,"unstructured/gradshafranov.f90:143: print *, 'Doing feedback', xmag-xmag0, zmag-zmag0,xnull-xnull0,znull-znull0
unstructured/gradshafranov.f90:155: xnulli = xnulli + (xnull-xnull0)
unstructured/gradshafranov.f90:177: if((xnull0.gt.0. .and. itnum.gt.10).and.(do_feedback_x)) then
unstructured/gradshafranov.f90:181: +gs_radial_feedback_x(coil_mask(i))*(xnull-xnull0) &
unstructured/gradshafranov.f90:1253: if(xnull0.eq.0) then
unstructured/gradshafranov.f90:1254: xnull0 = xnull"
znull0,znull0,&inputnl,Grad-Shafranov Solver,real,0.,4,unstructured/gradshafranov.f90(4),源码引用 4 处；主要在 `gradshafranov.f90` 4处。,"unstructured/gradshafranov.f90:143: print *, 'Doing feedback', xmag-xmag0, zmag-zmag0,xnull-xnull0,znull-znull0
unstructured/gradshafranov.f90:156: znulli = znulli + (znull-znull0)
unstructured/gradshafranov.f90:180: (gs_vertical_feedback_x(coil_mask(i))*(znull-znull0) &
unstructured/gradshafranov.f90:1255: znull0 = znull"
adapt_qs,adapt_qs,&inputnl,Grad-Shafranov Solver,real array,0.,3,unstructured/adapt.f90(3),源码引用 3 处；主要在 `adapt.f90` 3处。,"unstructured/adapt.f90:185: if(any(adapt_qs.ne.0.)) then
unstructured/adapt.f90:199: if(adapt_qs(j).ne.0.) then
unstructured/adapt.f90:201: exp(-(q - adapt_qs(j))**2 / (2.*adapt_pack_factor**2))"
adapt_zlow,adapt_zlow,&inputnl,Grad-Shafranov Solver,real,0.,1,unstructured/adapt.f90(1),源码引用 1 处；主要在 `adapt.f90` 1处。,unstructured/adapt.f90:137: ((adapt_zlow.ne.0.).and.(z_79(i).lt.adapt_zlow))
adapt_zup,adapt_zup,&inputnl,Grad-Shafranov Solver,real,0.,1,unstructured/adapt.f90(1),源码引用 1 处；主要在 `adapt.f90` 1处。,unstructured/adapt.f90:136: do_z_coarsen = ((adapt_zup.ne.0.).and.(z_79(i).gt.adapt_zup)).or. &
numvar,numvar,&inputnl,Model Options,integer,3,534,unstructured/ludef_t.f90(184); unstructured/ludef_t_gpu.f90(115); unstructured/time_step_split.f90(43); unstructured/time_step_unsplit.f90(27); unstructured/hypervisc.f90(17); unstructured/diagnostics.f90(14); unstructured/model.f90(14); unstructured/metricterms_new.f90(12),"源码引用 534 处；主要在 `ludef_t.f90` 184处, `ludef_t_gpu.f90` 115处, `time_step_split.f90` 43处, `time_step_unsplit.f90` 27处。","unstructured/adapt.f90:480: if (numvar .eq. 1 ) call elem_residule (elm_error_res(1,:), elm_error_res(2,:))
unstructured/auxiliary_fields.f90:765: if(numvar.gt.1) then
unstructured/auxiliary_fields.f90:782: if(numvar.gt.1) then
unstructured/auxiliary_fields.f90:816: if(numvar.ge.2) then
unstructured/auxiliary_fields.f90:834: if(numvar.ge.3) then
unstructured/auxiliary_fields.f90:859: if(numvar.ge.2) then
unstructured/auxiliary_fields.f90:868: if(numvar.ge.3) then
unstructured/auxiliary_fields.f90:890: if(numvar.gt.1) then
unstructured/auxiliary_fields.f90:901: if(numvar.gt.1) then
unstructured/auxiliary_fields.f90:923: if(numvar.gt.1) then"
linear,linear,&inputnl,Model Options,integer,0,221,unstructured/ludef_t.f90(69); unstructured/ludef_t_gpu.f90(40); unstructured/input.f90(19); unstructured/metricterms_new.f90(12); unstructured/metricterms_new_gpu.f90(12); unstructured/newpar.f90(8); unstructured/auxiliary_fields.f90(7); unstructured/adapt.f90(6),"源码引用 221 处；主要在 `ludef_t.f90` 69处, `ludef_t_gpu.f90` 40处, `input.f90` 19处, `metricterms_new.f90` 12处。","unstructured/adapt.f90:340: if(irestart .ne. 0 .or. linear .eq. 0) return
unstructured/adapt.f90:538: if(irestart .ne. 0 .or. linear .eq. 0) return
unstructured/adapt.f90:616: if (linear .eq. 0 .and. iadapt_ntime .eq. 0) then
unstructured/adapt.f90:618: if (myrank .eq. 0) print *, ""diagnose_adapt: run adaptation every time step (non-linear)""
unstructured/adapt.f90:621: if(linear .eq. 1 .and. adapt_ke .gt. 0 .and. ekin .gt. adapt_ke) then
unstructured/adapt.f90:623: if (myrank .eq. 0) print *, ""diagnose_adapt: run adaptation as ekin is greater than adapt_ke"", adapt_ke, ""(linear)""
unstructured/auxiliary_fields.f90:261: if(linear.eq.1 .and. ilin.eq.1) then
unstructured/auxiliary_fields.f90:278: if(linear.eq.1 .and. ilin.eq.1) then
unstructured/auxiliary_fields.f90:292: if(ieqsub.eq.1 .and. ilin.eq.1 .and. linear.eq.0) then
unstructured/auxiliary_fields.f90:383: if(linear.eq.1 .and. ilin.eq.1) then"
eqsubtract,eqsubtract,&inputnl,Model Options,integer,0,195,unstructured/ludef_t.f90(68); unstructured/ludef_t_gpu.f90(35); unstructured/output.f90(14); unstructured/diagnostics.f90(13); unstructured/newpar.f90(13); unstructured/adapt.f90(6); unstructured/electrostatic_potential.f90(5); unstructured/gradshafranov.f90(5),"源码引用 195 处；主要在 `ludef_t.f90` 68处, `ludef_t_gpu.f90` 35处, `output.f90` 14处, `diagnostics.f90` 13处。","unstructured/adapt.f90:115: if(eqsubtract.eq.1) then
unstructured/adapt.f90:284: if(eqsubtract.eq.0) then
unstructured/adapt.f90:385: if(eqsubtract.eq.0) then
unstructured/adapt.f90:396: if(eqsubtract.eq.1) then
unstructured/adapt.f90:581: if(eqsubtract.eq.0) then
unstructured/adapt.f90:592: if(eqsubtract.eq.1) then
unstructured/bootstrap.f90:650: if(eqsubtract.eq.1) then
unstructured/bootstrap.f90:804: if(eqsubtract.eq.1) then
unstructured/bootstrap.f90:1391: if(eqsubtract.eq.1) then
unstructured/bootstrap.f90:1449: if(eqsubtract.eq.1) then"
extsubtract,extsubtract,&inputnl,Model Options,integer,0,32,unstructured/rmp.f90(14); unstructured/output.f90(11); unstructured/newpar.f90(3); unstructured/input.f90(2); unstructured/init_conds.f90(1); unstructured/restart_hdf5.f90(1),"源码引用 32 处；主要在 `rmp.f90` 14处, `output.f90` 11处, `newpar.f90` 3处, `input.f90` 2处。","unstructured/init_conds.f90:689: if(itaylor.eq.41 .and. extsubtract.eq.0) then
unstructured/input.f90:1717: if(extsubtract.ne.0) then
unstructured/input.f90:1718: if(myrank.eq.0) print *, 'Error: with no external fields, set extsubtract=0'
unstructured/newpar.f90:877: if(extsubtract.eq.1) then ! also, external bfp
unstructured/newpar.f90:1396: if(extsubtract.eq.1) then
unstructured/newpar.f90:1452: if(extsubtract.eq.1) then
unstructured/output.f90:265: call write_int_attr (root_id, ""extsubtract"", extsubtract,error)
unstructured/output.f90:1052: (extsubtract.eq.1 .and. (ilin.eq.1 .or. eqsubtract.eq.0))) then
unstructured/output.f90:1068: if(extsubtract.eq.1 .and. (ilin.eq.1 .or. eqsubtract.eq.0)) then
unstructured/output.f90:1097: if(extsubtract.eq.1 .and. (ilin.eq.1 .or. eqsubtract.eq.0)) then"
icsubtract,icsubtract,&inputnl,Model Options,integer,0,82,unstructured/ludef_t.f90(34); unstructured/ludef_t_gpu.f90(18); unstructured/gradshafranov.f90(13); unstructured/output.f90(7); unstructured/diagnostics.f90(3); unstructured/restart_hdf5.f90(2); unstructured/adapt.f90(1); unstructured/init_conds.f90(1),"源码引用 82 处；主要在 `ludef_t.f90` 34处, `ludef_t_gpu.f90` 18处, `gradshafranov.f90` 13处, `output.f90` 7处。","unstructured/adapt.f90:120: if(icsubtract.eq.1) then
unstructured/diagnostics.f90:2071: if(icsubtract.eq.1) call add(temp_field, psi_coil_field)
unstructured/diagnostics.f90:2837: if(icsubtract.eq.1) then
unstructured/diagnostics.f90:2867: if(icsubtract.eq.1) then
unstructured/gradshafranov.f90:367: if(icsubtract.eq.0) call add(psi_field(0),psi_coil_field)
unstructured/gradshafranov.f90:1435: if(icsubtract.eq.1) then
unstructured/gradshafranov.f90:1501: if(icsubtract.eq.1) then
unstructured/gradshafranov.f90:1530: if(icsubtract.eq.1) then
unstructured/gradshafranov.f90:1559: if(icsubtract.eq.1) then
unstructured/gradshafranov.f90:1588: if(icsubtract.eq.1) then"
idens,idens,&inputnl,Model Options,integer,0,111,unstructured/ludef_t.f90(31); unstructured/time_step_split.f90(18); unstructured/ludef_t_gpu.f90(15); unstructured/metricterms_new_gpu.f90(14); unstructured/time_step_unsplit.f90(13); unstructured/metricterms_new.f90(9); unstructured/diagnostics.f90(2); unstructured/input.f90(2),"源码引用 111 处；主要在 `ludef_t.f90` 31处, `time_step_split.f90` 18处, `ludef_t_gpu.f90` 15处, `metricterms_new_gpu.f90` 14处。","unstructured/diagnostics.f90:1013: if(idens.eq.1) then
unstructured/diagnostics.f90:1096: if(idens.eq.1) then
unstructured/electrostatic_potential.f90:740: if(idens.eq.1 .and. eqsubtract.eq.1) then
unstructured/init_3ddiffusion.f90:95: if(idens.eq.1) den1_l = p1_l
unstructured/init_gem.f90:108: if(idens.eq.1) then
unstructured/init_wave.f90:202: if(idens.eq.1) then
unstructured/input.f90:1660: density_source = idens.eq.1 .and. linear.eq.0 .and. &
unstructured/input.f90:1845: density_source = idens.eq.1 .and. linear.eq.0 .and. ipellet.ge.1 &
unstructured/ludef_t.f90:224: if(idens.eq.1) then
unstructured/ludef_t.f90:295: if(idens.eq.1) then"
ipres,ipres,&inputnl,Model Options,integer,0,128,unstructured/time_step_split.f90(45); unstructured/ludef_t.f90(21); unstructured/ludef_t_gpu.f90(20); unstructured/time_step_unsplit.f90(17); unstructured/input.f90(7); unstructured/kprad.f90(4); unstructured/auxiliary_fields.f90(2); unstructured/gradshafranov.f90(2),"源码引用 128 处；主要在 `time_step_split.f90` 45处, `ludef_t.f90` 21处, `ludef_t_gpu.f90` 20处, `time_step_unsplit.f90` 17处。","unstructured/auxiliary_fields.f90:435: if(ipressplit.eq.1 .and. ipres.eq.1) then
unstructured/auxiliary_fields.f90:631: if(ipres.eq.0) then
unstructured/diagnostics.f90:790: if(numvar.ge.3 .or. ipres.eq.1) then
unstructured/gradshafranov.f90:712: if(ipres.eq.0 .and. allocated(te_spline%y) .and. eqsubtract.eq.0) then
unstructured/gradshafranov.f90:716: & ipres=0 and eqsubtract=0'
unstructured/input.f90:367: ""Min. Temp. used in Equipartition term for ipres=1"", transp_grp)
unstructured/input.f90:1424: if(ipres.eq.0 .and. numvar.lt.3) then
unstructured/input.f90:1425: if(myrank.eq.0) print *, 'imp_temp=1 not allowed with ipres=0 and numvar<3'
unstructured/input.f90:1667: heat_source = linear.eq.0 .and. (numvar.ge.3 .or. ipres.eq.1) .and. &
unstructured/input.f90:1674: (numvar.ge.3 .or. ipres.eq.1) .and. &"
ipressplit,ipressplit,&inputnl,Model Options,integer,0,69,unstructured/time_step_split.f90(32); unstructured/ludef_t_gpu.f90(14); unstructured/ludef_t.f90(12); unstructured/input.f90(8); unstructured/auxiliary_fields.f90(1); unstructured/output.f90(1); unstructured/time_step.f90(1),"源码引用 69 处；主要在 `time_step_split.f90` 32处, `ludef_t_gpu.f90` 14处, `ludef_t.f90` 12处, `input.f90` 8处。","unstructured/auxiliary_fields.f90:435: if(ipressplit.eq.1 .and. ipres.eq.1) then
unstructured/input.f90:1414: if(ipressplit.eq.0 .and. itemp.eq.1) then
unstructured/input.f90:1415: if(myrank.eq.0) print *, ""itemp=1 not allowed with ipressplit=0""
unstructured/input.f90:1418: if(ipressplit.eq.1 .and. numvar.ne.3 ) then
unstructured/input.f90:1419: if(myrank.eq.0) print *, ""ipressplit=1 not allowed with numvar < 3""
unstructured/input.f90:1438: if(isplitstep.eq.0 .and. ipressplit.eq.1) then
unstructured/input.f90:1439: if(myrank.eq.0) print *, ""ipressplit=1 not allowed with isplitstep=0""
unstructured/input.f90:1737: ipressplit.ne.0) then
unstructured/input.f90:1740: 'linear=1, isplitstep=0, ipres=1,itemp=0,ipressplit=0'
unstructured/ludef_t.f90:5199: if((ipres.eq.1 .and. numvar.lt.3) .or. ipressplit.eq.1) then"
itemp,itemp,&inputnl,Model Options,integer,0,50,unstructured/input.f90(11); unstructured/time_step_split.f90(8); unstructured/transport.f90(7); unstructured/ludef_t.f90(6); unstructured/m3dc1_nint.f90(6); unstructured/ludef_t_gpu.f90(5); unstructured/kprad.f90(3); unstructured/newpar.f90(1),"源码引用 50 处；主要在 `input.f90` 11处, `time_step_split.f90` 8处, `transport.f90` 7处, `ludef_t.f90` 6处。","unstructured/input.f90:418: ""1: Correct itemp=1 for time-varying density"", model_grp)
unstructured/input.f90:1414: if(ipressplit.eq.0 .and. itemp.eq.1) then
unstructured/input.f90:1415: if(myrank.eq.0) print *, ""itemp=1 not allowed with ipressplit=0""
unstructured/input.f90:1433: if(z_ion .ne. 1.0 .and. itemp.eq.1) then
unstructured/input.f90:1434: if(myrank.eq.0) print *, ""itemp=1 not allowed with z_ion .gt. 1""
unstructured/input.f90:1448: if(itemp.eq.0 .and. ikapparfunc.eq.2) then
unstructured/input.f90:1449: if(myrank.eq.0) print *, ""ikapparfunc=2 not allowed with itemp=0""
unstructured/input.f90:1736: itemp.ne.0 .or. &
unstructured/input.f90:1740: 'linear=1, isplitstep=0, ipres=1,itemp=0,ipressplit=0'
unstructured/input.f90:1775: if(itemp.eq.0 .and. kappai_fac.ne.1.) then"
iadiabat,iadiabat,&inputnl,Model Options,integer,1,7,unstructured/ludef_t.f90(3); unstructured/ludef_t_gpu.f90(3); unstructured/temperature_plots.f90(1),"源码引用 7 处；主要在 `ludef_t.f90` 3处, `ludef_t_gpu.f90` 3处, `temperature_plots.f90` 1处。","unstructured/ludef_t.f90:4141: if(iadiabat.eq.1) then
unstructured/ludef_t.f90:4587: if(idens.eq.1 .and. iadiabat.eq.1) then
unstructured/ludef_t.f90:4723: if(itemp.eq.1 .and. iadiabat.eq.1) then
unstructured/ludef_t_gpu.f90:4708: if(iadiabat.eq.1) then
unstructured/ludef_t_gpu.f90:5244: if(idens.eq.1 .and. iadiabat.eq.1) then
unstructured/ludef_t_gpu.f90:5382: if(itemp.eq.1 .and. iadiabat.eq.1) then
unstructured/temperature_plots.f90:402: if(iadiabat.eq.1) then"
gyro,gyro,&inputnl,Model Options,integer,0,25,unstructured/ludef_t.f90(8); unstructured/diagnostics.f90(3); unstructured/read_gyro.f90(3); unstructured/ludef_t_gpu.f90(2); unstructured/read_namelist.cpp(2); unstructured/init_mri.f90(1); unstructured/init_wave.f90(1); unstructured/input.f90(1),"源码引用 25 处；主要在 `ludef_t.f90` 8处, `diagnostics.f90` 3处, `read_gyro.f90` 3处, `ludef_t_gpu.f90` 2处。","unstructured/diagnostics.f90:786: if(gyro.eq.1 .or. amupar.ne.0) then
unstructured/diagnostics.f90:829: if(gyro.eq.1) call gyro_common
unstructured/diagnostics.f90:1074: if(gyro.eq.1) call gyro_common
unstructured/init_mri.f90:53: nu = db*0.5*gyro*pi0/bzero
unstructured/init_wave.f90:48: bi = 2.*pi0*gyro
unstructured/input.f90:1271: ""1: Enable gyro-averaging for PIC simulation"", particle_grp)
unstructured/ludef_t.f90:514: if(gyro.eq.1 .or. amupar.ne.0 .or. ipforce.ge.1) then
unstructured/ludef_t.f90:522: if(gyro.eq.1 .and. db.ne.0.) then
unstructured/ludef_t.f90:1092: if(gyro.eq.1 .or. amupar.ne.0.) then
unstructured/ludef_t.f90:1100: if(gyro.eq.1 .and. db.ne.0.) then"
igauge,igauge,&inputnl,Model Options,integer,0,3,unstructured/ludef_t.f90(1); unstructured/ludef_t_gpu.f90(1); unstructured/model.f90(1),"源码引用 3 处；主要在 `ludef_t.f90` 1处, `ludef_t_gpu.f90` 1处, `model.f90` 1处。","unstructured/ludef_t.f90:2694: if(igauge.eq.1) then
unstructured/ludef_t_gpu.f90:3104: if(igauge.eq.1) then
unstructured/model.f90:510: if(igauge.eq.0) temp(1) = temp(1) + dt*vloop/toroidal_period"
inertia,inertia,&inputnl,Model Options,integer,1,72,unstructured/metricterms_new_gpu.f90(51); unstructured/metricterms_new.f90(21),"源码引用 72 处；主要在 `metricterms_new_gpu.f90` 51处, `metricterms_new.f90` 21处。","unstructured/metricterms_new.f90:268: if(inertia.eq.0) then
unstructured/metricterms_new.f90:301: if(inertia.eq.0) then
unstructured/metricterms_new.f90:337: if(inertia.eq.0) then
unstructured/metricterms_new.f90:365: if(inertia.eq.0) then
unstructured/metricterms_new.f90:403: if(inertia.eq.0) then
unstructured/metricterms_new.f90:437: if(inertia.eq.0) then
unstructured/metricterms_new.f90:475: if(inertia.eq.0) then
unstructured/metricterms_new.f90:504: if(inertia.eq.0) then
unstructured/metricterms_new.f90:532: if(inertia.eq.0) then
unstructured/metricterms_new.f90:563: if(inertia.eq.0) then"
itwofluid,itwofluid,&inputnl,Model Options,integer,1,89,unstructured/metricterms_new.f90(33); unstructured/metricterms_new_gpu.f90(33); unstructured/ludef_t.f90(13); unstructured/electrostatic_potential.f90(6); unstructured/harned_mikic.f90(2); unstructured/time_step_split.f90(2),"源码引用 89 处；主要在 `metricterms_new.f90` 33处, `metricterms_new_gpu.f90` 33处, `ludef_t.f90` 13处, `electrostatic_potential.f90` 6处。","unstructured/electrostatic_potential.f90:393: if(itwofluid.eq.0 .or. db.eq.0.) then
unstructured/electrostatic_potential.f90:424: if(itwofluid.eq.0 .or. db.eq.0.) then
unstructured/electrostatic_potential.f90:458: if(itwofluid.eq.0 .or. db.eq.0.) then
unstructured/electrostatic_potential.f90:492: if(itwofluid.eq.0 .or. db.eq.0.) then
unstructured/electrostatic_potential.f90:523: if(itwofluid.eq.0 .or. db.eq.0.) then
unstructured/electrostatic_potential.f90:558: if(itwofluid.eq.0 .or. db.eq.0.) then
unstructured/harned_mikic.f90:17: if(itwofluid.ne.1 .or. surface_int .or. &
unstructured/harned_mikic.f90:107: if(itwofluid.ne.1 .or. surface_int .or. &
unstructured/ludef_t.f90:458: if(db .gt. 0 .and. itwofluid.eq.2) then
unstructured/ludef_t.f90:479: if(db .gt. 0 .and. itwofluid.eq.2) then"
ibootstrap,ibootstrap,&inputnl,Model Options,integer,0,115,unstructured/newpar.f90(25); unstructured/adapt.f90(20); unstructured/bootstrap.f90(19); unstructured/transport.f90(19); unstructured/auxiliary_fields.f90(11); unstructured/output.f90(11); unstructured/m3dc1_nint.f90(5); unstructured/diagnostics.f90(4),"源码引用 115 处；主要在 `newpar.f90` 25处, `adapt.f90` 20处, `bootstrap.f90` 19处, `transport.f90` 19处。","unstructured/adapt.f90:368: if(ibootstrap.gt.0) visc_e_field = 0.
unstructured/adapt.f90:369: if(ibootstrap.gt.0) Jbs_L31_field = 0.
unstructured/adapt.f90:370: if(ibootstrap.gt.0) Jbs_L32_field = 0.
unstructured/adapt.f90:371: if(ibootstrap.gt.0) Jbs_L34_field = 0.
unstructured/adapt.f90:372: if(ibootstrap.gt.0) Jbs_alpha_field = 0.
unstructured/adapt.f90:373: if(ibootstrap.gt.0) Jbs_fluxavg_iBsq_field = 0.
unstructured/adapt.f90:374: if(ibootstrap.eq.2 .or. ibootstrap.eq.3 ) Jbs_dtedpsit_field = 0.
unstructured/adapt.f90:375: if(ibootstrap.eq.3) Jbs_ftrap_field = 0.
unstructured/adapt.f90:376: if(ibootstrap.eq.3) Jbs_qR_field = 0.
unstructured/adapt.f90:377: if(ibootstrap.eq.3) Jbs_invAspectRatio_field = 0."
